spec_number,visit,pipeline,obs_date_bjd,wavelength_micron,eclipse_depth_ppm,eclipse_depth_error_ppm
11,1,stark,2459902.111308,2.12,47.400000000000006,18.249999999999996
11,1,stark,2459902.111308,4.5,7.0,8.8
12,2,stark,2459904.32162,2.12,-5.1000000000000005,5.75
12,2,stark,2459904.32162,4.5,65.2,32.25
13,3,stark,2459906.530521,2.12,37.3,4.65
13,3,stark,2459906.530521,4.5,101.39999999999999,24.749999999999996
14,4,stark,2459907.984896,2.12,36.800000000000004,30.299999999999997
14,4,stark,2459907.984896,4.5,119.2,26.5
15,5,stark,2460058.997951,2.12,95.89999999999999,7.999999999999999
15,5,stark,2460058.997951,4.5,95.4,15.15
