spec_number,visit,pipeline,relationship,obs_date_bjd,bibcode,note,archive_spec_path,archive_url,download_sha256,n_rows
1,1,HANSOLO,alternate reduction of same photons,2459902.111308,2024A&A...690A.159P,"Figure A.1, HANSOLO Method, Obs. Date corresponds to Start date, Visit 1",95/23/06/90/55_Cnc_e_3.10924_5518_1.tbl,https://exoplanetarchive.ipac.caltech.edu/work/TMP_DWxGm5_4187202/atmospheres/tab1/data/95/23/06/90/55_Cnc_e_3.10924_5518_1.tbl,cddaba048a18e0254ce5558f97ca11793070d65da98952cc30f9910ee271b415,30
2,1,stark,alternate reduction of same photons,2459902.111308,2024A&A...690A.159P,"Figure A.1, stark Method, Obs. Date corresponds to Start date, Visit 1",72/20/01/75/55_Cnc_e_3.10924_5518_2.tbl,https://exoplanetarchive.ipac.caltech.edu/work/TMP_DWxGm5_4187202/atmospheres/tab1/data/72/20/01/75/55_Cnc_e_3.10924_5518_2.tbl,9fe00016b0f7ba4daa11bb779f1c0995424f10daa205f6639afa0cee6a254965,30
3,2,HANSOLO,alternate reduction of same photons,2459904.32162,2024A&A...690A.159P,"Figure A.1, HANSOLO Method, Obs. Date corresponds to Start date, Visit 2",57/50/14/73/55_Cnc_e_3.10924_5518_3.tbl,https://exoplanetarchive.ipac.caltech.edu/work/TMP_DWxGm5_4187202/atmospheres/tab1/data/57/50/14/73/55_Cnc_e_3.10924_5518_3.tbl,36ca434aeb7c91b2394e523a76ff1d8326339fed4a38212772871e82cb6643ac,30
4,2,stark,alternate reduction of same photons,2459904.32162,2024A&A...690A.159P,"Figure A.1, stark Method, Obs. Date corresponds to Start date, Visit 2",28/36/47/75/55_Cnc_e_3.10924_5518_4.tbl,https://exoplanetarchive.ipac.caltech.edu/work/TMP_DWxGm5_4187202/atmospheres/tab1/data/28/36/47/75/55_Cnc_e_3.10924_5518_4.tbl,37a12568d87a3a4a78a43a0fe4ed9105447940cf7e3fb63e945b69b0c1e5f5a2,30
5,3,HANSOLO,alternate reduction of same photons,2459906.530521,2024A&A...690A.159P,"Figure A.1, HANSOLO Method, Obs. Date corresponds to Start date, Visit 3",09/06/38/72/55_Cnc_e_3.10924_5518_5.tbl,https://exoplanetarchive.ipac.caltech.edu/work/TMP_DWxGm5_4187202/atmospheres/tab1/data/09/06/38/72/55_Cnc_e_3.10924_5518_5.tbl,a05a00c37d4c57003ec72ddc8ce6d844c5b4559ec505e5d3d261a2f431a1d8a4,30
6,3,stark,alternate reduction of same photons,2459906.530521,2024A&A...690A.159P,"Figure A.1, stark Method, Obs. Date corresponds to Start date, Visit 3",02/33/62/04/55_Cnc_e_3.10924_5518_6.tbl,https://exoplanetarchive.ipac.caltech.edu/work/TMP_DWxGm5_4187202/atmospheres/tab1/data/02/33/62/04/55_Cnc_e_3.10924_5518_6.tbl,f07cb43c71b5dcca53c112076a29467d6bab6c82ff05d1f398bbc52477aa515f,30
7,4,HANSOLO,alternate reduction of same photons,2459907.984896,2024A&A...690A.159P,"Figure A.1, HANSOLO Method, Obs. Date corresponds to Start date, Visit 4",63/40/60/27/55_Cnc_e_3.10924_5518_7.tbl,https://exoplanetarchive.ipac.caltech.edu/work/TMP_DWxGm5_4187202/atmospheres/tab1/data/63/40/60/27/55_Cnc_e_3.10924_5518_7.tbl,8848b7bc05c43b4c64c0e2bc09cd26000aff916d152c76c11859ee11c889dbf1,30
8,4,stark,alternate reduction of same photons,2459907.984896,2024A&A...690A.159P,"Figure A.1, stark Method, Obs. Date corresponds to Start date, Visit 4",20/68/57/63/55_Cnc_e_3.10924_5518_8.tbl,https://exoplanetarchive.ipac.caltech.edu/work/TMP_DWxGm5_4187202/atmospheres/tab1/data/20/68/57/63/55_Cnc_e_3.10924_5518_8.tbl,1af5737cc892338002caeb098bbea39e24547ec92253166b0da2f5d1fea61350,30
9,5,HANSOLO,alternate reduction of same photons,2460058.997951,2024A&A...690A.159P,"Figure A.1, HANSOLO Method, Obs. Date corresponds to Start date, Visit 5",75/98/87/03/55_Cnc_e_3.10924_5518_9.tbl,https://exoplanetarchive.ipac.caltech.edu/work/TMP_DWxGm5_4187202/atmospheres/tab1/data/75/98/87/03/55_Cnc_e_3.10924_5518_9.tbl,a25eb98de05b2988cdc656a4af351dabc844c8e20815aa4d2a59bbc98130af7b,30
10,5,stark,alternate reduction of same photons,2460058.997951,2024A&A...690A.159P,"Figure A.1, stark Method, Obs. Date corresponds to Start date, Visit 5",24/05/07/90/55_Cnc_e_3.10924_5518_10.tbl,https://exoplanetarchive.ipac.caltech.edu/work/TMP_DWxGm5_4187202/atmospheres/tab1/data/24/05/07/90/55_Cnc_e_3.10924_5518_10.tbl,ae66f2f0758e2b08738effc38205c8b659ad670a4d06fc0716286be1e80a2d61,30
