spec_number,visit,pipeline,obs_date_bjd,wavelength_micron,eclipse_depth_ppm,eclipse_depth_error_ppm
1,1,HANSOLO,2459902.111308,3.95287,4.0,13.8
1,1,HANSOLO,2459902.111308,3.98617,3.9,13.55
1,1,HANSOLO,2459902.111308,4.01947,3.6,8.8
1,1,HANSOLO,2459902.111308,4.05277,5.199999999999999,14.1
1,1,HANSOLO,2459902.111308,4.08607,2.8,8.649999999999999
1,1,HANSOLO,2459902.111308,4.11937,4.1,14.299999999999999
1,1,HANSOLO,2459902.111308,4.15267,3.1,9.9
1,1,HANSOLO,2459902.111308,4.18597,3.4000000000000004,11.299999999999999
1,1,HANSOLO,2459902.111308,4.21927,21.099999999999998,23.95
1,1,HANSOLO,2459902.111308,4.25257,3.6999999999999997,13.8
1,1,HANSOLO,2459902.111308,4.28587,101.0,43.65
1,1,HANSOLO,2459902.111308,4.31917,23.8,29.449999999999996
1,1,HANSOLO,2459902.111308,4.35247,29.299999999999997,27.200000000000003
1,1,HANSOLO,2459902.111308,4.38578,10.6,22.9
1,1,HANSOLO,2459902.111308,4.41908,17.4,25.500000000000004
1,1,HANSOLO,2459902.111308,4.45238,17.4,24.05
1,1,HANSOLO,2459902.111308,4.48568,7.5,18.05
1,1,HANSOLO,2459902.111308,4.51898,17.4,22.200000000000003
1,1,HANSOLO,2459902.111308,4.55228,55.0,39.900000000000006
1,1,HANSOLO,2459902.111308,4.58558,49.1,35.7
1,1,HANSOLO,2459902.111308,4.61888,139.4,59.800000000000004
1,1,HANSOLO,2459902.111308,4.65218,5.999999999999999,21.7
1,1,HANSOLO,2459902.111308,4.68548,5.8,20.85
1,1,HANSOLO,2459902.111308,4.71878,10.0,28.249999999999996
1,1,HANSOLO,2459902.111308,4.75208,19.2,29.900000000000002
1,1,HANSOLO,2459902.111308,4.78538,27.7,34.3
1,1,HANSOLO,2459902.111308,4.81868,41.0,34.65
1,1,HANSOLO,2459902.111308,4.85198,6.1,22.35
1,1,HANSOLO,2459902.111308,4.88528,66.3,51.4
1,1,HANSOLO,2459902.111308,4.91858,7.1000000000000005,25.599999999999998
2,1,stark,2459902.111308,3.95363,-30.7,15.399999999999999
2,1,stark,2459902.111308,3.98671,14.1,15.6
2,1,stark,2459902.111308,4.01979,-9.1,16.4
2,1,stark,2459902.111308,4.05286,16.6,18.1
2,1,stark,2459902.111308,4.08592,-14.9,17.3
2,1,stark,2459902.111308,4.11898,22.8,16.8
2,1,stark,2459902.111308,4.15204,12.299999999999999,16.900000000000002
2,1,stark,2459902.111308,4.18509,18.1,17.6
2,1,stark,2459902.111308,4.21814,43.2,18.15
2,1,stark,2459902.111308,4.25119,43.699999999999996,17.95
2,1,stark,2459902.111308,4.28423,44.0,17.650000000000002
2,1,stark,2459902.111308,4.31726,51.2,18.55
2,1,stark,2459902.111308,4.35029,66.5,19.05
2,1,stark,2459902.111308,4.38332,34.9,19.7
2,1,stark,2459902.111308,4.41634,54.0,19.35
2,1,stark,2459902.111308,4.44936,70.60000000000001,21.900000000000002
2,1,stark,2459902.111308,4.48238,46.699999999999996,21.450000000000003
2,1,stark,2459902.111308,4.51539,31.900000000000002,20.799999999999997
2,1,stark,2459902.111308,4.54839,50.699999999999996,20.65
2,1,stark,2459902.111308,4.58139,48.199999999999996,22.1
2,1,stark,2459902.111308,4.61439,21.8,22.15
2,1,stark,2459902.111308,4.64738,31.2,22.35
2,1,stark,2459902.111308,4.68037,8.2,24.05
2,1,stark,2459902.111308,4.71336,-16.6,23.0
2,1,stark,2459902.111308,4.74633,48.7,23.0
2,1,stark,2459902.111308,4.77931,66.8,25.0
2,1,stark,2459902.111308,4.81228,28.1,25.75
2,1,stark,2459902.111308,4.84525,26.3,27.05
2,1,stark,2459902.111308,4.87821,28.6,26.0
2,1,stark,2459902.111308,4.9102,51.7,30.0
3,2,HANSOLO,2459904.32162,3.95287,3.6999999999999997,12.5
3,2,HANSOLO,2459904.32162,3.98617,3.4000000000000004,11.15
3,2,HANSOLO,2459904.32162,4.01947,2.8,6.6
3,2,HANSOLO,2459904.32162,4.05277,3.6999999999999997,13.1
3,2,HANSOLO,2459904.32162,4.08607,2.2,6.85
3,2,HANSOLO,2459904.32162,4.11937,28.0,29.4
3,2,HANSOLO,2459904.32162,4.15267,20.6,23.8
3,2,HANSOLO,2459904.32162,4.18597,3.5,11.5
3,2,HANSOLO,2459904.32162,4.21927,3.4000000000000004,11.250000000000002
3,2,HANSOLO,2459904.32162,4.25257,5.3,13.799999999999999
3,2,HANSOLO,2459904.32162,4.28587,5.6,18.1
3,2,HANSOLO,2459904.32162,4.31917,36.7,26.4
3,2,HANSOLO,2459904.32162,4.35247,5.5,16.7
3,2,HANSOLO,2459904.32162,4.38578,10.7,21.099999999999998
3,2,HANSOLO,2459904.32162,4.41908,17.2,27.35
3,2,HANSOLO,2459904.32162,4.45238,10.0,20.799999999999997
3,2,HANSOLO,2459904.32162,4.48568,3.6,12.05
3,2,HANSOLO,2459904.32162,4.51898,7.3,21.900000000000002
3,2,HANSOLO,2459904.32162,4.55228,11.299999999999999,25.3
3,2,HANSOLO,2459904.32162,4.58558,7.699999999999999,21.75
3,2,HANSOLO,2459904.32162,4.61888,5.6,18.249999999999996
3,2,HANSOLO,2459904.32162,4.65218,6.6,18.599999999999998
3,2,HANSOLO,2459904.32162,4.68548,37.4,26.5
3,2,HANSOLO,2459904.32162,4.71878,80.4,41.4
3,2,HANSOLO,2459904.32162,4.75208,39.50000000000001,31.900000000000002
3,2,HANSOLO,2459904.32162,4.78538,85.2,48.55
3,2,HANSOLO,2459904.32162,4.81868,20.1,25.15
3,2,HANSOLO,2459904.32162,4.85198,9.200000000000001,27.05
3,2,HANSOLO,2459904.32162,4.88528,30.400000000000002,42.300000000000004
3,2,HANSOLO,2459904.32162,4.91858,87.3,50.9
4,2,stark,2459904.32162,3.95363,53.5,16.25
4,2,stark,2459904.32162,3.98671,63.800000000000004,16.3
4,2,stark,2459904.32162,4.01979,28.6,16.75
4,2,stark,2459904.32162,4.05286,25.0,16.150000000000002
4,2,stark,2459904.32162,4.08592,52.0,16.85
4,2,stark,2459904.32162,4.11898,27.1,16.55
4,2,stark,2459904.32162,4.15204,65.7,17.15
4,2,stark,2459904.32162,4.18509,71.3,17.2
4,2,stark,2459904.32162,4.21814,71.5,16.75
4,2,stark,2459904.32162,4.25119,56.6,17.7
4,2,stark,2459904.32162,4.28423,50.800000000000004,17.55
4,2,stark,2459904.32162,4.31726,52.199999999999996,18.400000000000002
4,2,stark,2459904.32162,4.35029,81.39999999999999,18.5
4,2,stark,2459904.32162,4.38332,66.89999999999999,19.55
4,2,stark,2459904.32162,4.41634,87.2,19.05
4,2,stark,2459904.32162,4.44936,11.700000000000001,20.65
4,2,stark,2459904.32162,4.48238,50.5,21.85
4,2,stark,2459904.32162,4.51539,74.3,21.5
4,2,stark,2459904.32162,4.54839,84.39999999999999,21.7
4,2,stark,2459904.32162,4.58139,67.7,21.85
4,2,stark,2459904.32162,4.61439,55.0,22.0
4,2,stark,2459904.32162,4.64738,67.1,21.650000000000002
4,2,stark,2459904.32162,4.68037,69.5,22.8
4,2,stark,2459904.32162,4.71336,44.7,25.050000000000004
4,2,stark,2459904.32162,4.74633,62.300000000000004,23.150000000000002
4,2,stark,2459904.32162,4.77931,96.5,24.450000000000003
4,2,stark,2459904.32162,4.81228,77.60000000000001,24.85
4,2,stark,2459904.32162,4.84525,29.099999999999998,25.500000000000004
4,2,stark,2459904.32162,4.87821,92.7,24.85
4,2,stark,2459904.32162,4.9102,86.4,27.650000000000002
5,3,HANSOLO,2459906.530521,3.95287,37.6,27.35
5,3,HANSOLO,2459906.530521,3.98617,52.6,32.75
5,3,HANSOLO,2459906.530521,4.01947,24.8,21.000000000000004
5,3,HANSOLO,2459906.530521,4.05277,16.4,16.85
5,3,HANSOLO,2459906.530521,4.08607,13.2,13.75
5,3,HANSOLO,2459906.530521,4.11937,32.8,26.750000000000004
5,3,HANSOLO,2459906.530521,4.15267,29.299999999999997,24.749999999999996
5,3,HANSOLO,2459906.530521,4.18597,31.5,25.65
5,3,HANSOLO,2459906.530521,4.21927,41.1,30.299999999999997
5,3,HANSOLO,2459906.530521,4.25257,48.199999999999996,32.300000000000004
5,3,HANSOLO,2459906.530521,4.28587,74.0,52.15
5,3,HANSOLO,2459906.530521,4.31917,26.8,23.1
5,3,HANSOLO,2459906.530521,4.35247,43.099999999999994,31.549999999999997
5,3,HANSOLO,2459906.530521,4.38578,24.7,23.6
5,3,HANSOLO,2459906.530521,4.41908,50.6,33.25
5,3,HANSOLO,2459906.530521,4.45238,73.60000000000001,38.25
5,3,HANSOLO,2459906.530521,4.48568,86.7,41.449999999999996
5,3,HANSOLO,2459906.530521,4.51898,95.4,42.85000000000001
5,3,HANSOLO,2459906.530521,4.55228,56.4,38.449999999999996
5,3,HANSOLO,2459906.530521,4.58558,73.8,42.24999999999999
5,3,HANSOLO,2459906.530521,4.61888,155.6,64.1
5,3,HANSOLO,2459906.530521,4.65218,50.5,34.8
5,3,HANSOLO,2459906.530521,4.68548,58.8,38.9
5,3,HANSOLO,2459906.530521,4.71878,79.8,44.650000000000006
5,3,HANSOLO,2459906.530521,4.75208,65.10000000000001,42.00000000000001
5,3,HANSOLO,2459906.530521,4.78538,60.099999999999994,41.5
5,3,HANSOLO,2459906.530521,4.81868,46.0,35.6
5,3,HANSOLO,2459906.530521,4.85198,43.099999999999994,33.65
5,3,HANSOLO,2459906.530521,4.88528,62.0,47.349999999999994
5,3,HANSOLO,2459906.530521,4.91858,45.900000000000006,39.65
6,3,stark,2459906.530521,3.95363,61.9,16.150000000000002
6,3,stark,2459906.530521,3.98671,122.6,15.6
6,3,stark,2459906.530521,4.01979,84.8,17.2
6,3,stark,2459906.530521,4.05286,102.5,16.5
6,3,stark,2459906.530521,4.08592,84.10000000000001,16.95
6,3,stark,2459906.530521,4.11898,111.5,17.05
6,3,stark,2459906.530521,4.15204,86.5,16.8
6,3,stark,2459906.530521,4.18509,107.49999999999999,17.55
6,3,stark,2459906.530521,4.21814,104.8,18.45
6,3,stark,2459906.530521,4.25119,68.9,17.25
6,3,stark,2459906.530521,4.28423,129.3,17.7
6,3,stark,2459906.530521,4.31726,142.79999999999998,19.7
6,3,stark,2459906.530521,4.35029,119.2,19.35
6,3,stark,2459906.530521,4.38332,124.7,19.849999999999998
6,3,stark,2459906.530521,4.41634,84.49999999999999,20.049999999999997
6,3,stark,2459906.530521,4.44936,113.3,18.8
6,3,stark,2459906.530521,4.48238,141.70000000000002,21.900000000000002
6,3,stark,2459906.530521,4.51539,121.5,20.049999999999997
6,3,stark,2459906.530521,4.54839,147.9,21.349999999999998
6,3,stark,2459906.530521,4.58139,117.19999999999999,22.4
6,3,stark,2459906.530521,4.61439,128.6,22.15
6,3,stark,2459906.530521,4.64738,86.89999999999999,23.550000000000004
6,3,stark,2459906.530521,4.68037,141.0,23.8
6,3,stark,2459906.530521,4.71336,113.7,23.249999999999996
6,3,stark,2459906.530521,4.74633,132.20000000000002,24.8
6,3,stark,2459906.530521,4.77931,87.39999999999999,24.4
6,3,stark,2459906.530521,4.81228,61.599999999999994,26.900000000000002
6,3,stark,2459906.530521,4.84525,78.3,25.050000000000004
6,3,stark,2459906.530521,4.87821,97.0,28.0
6,3,stark,2459906.530521,4.9102,65.6,27.949999999999996
7,4,HANSOLO,2459907.984896,3.95287,25.400000000000002,23.3
7,4,HANSOLO,2459907.984896,3.98617,20.1,19.5
7,4,HANSOLO,2459907.984896,4.01947,35.1,26.55
7,4,HANSOLO,2459907.984896,4.05277,28.1,22.75
7,4,HANSOLO,2459907.984896,4.08607,28.700000000000003,23.1
