target_name,s_ra,s_dec,t_min,t_max,t_exptime,dp_id,obs_id,obs_publisher_did,obs_collection,instrument_name,dataproduct_type,dataproduct_subtype,calib_level,obs_release_date,access_url,access_estsize,nirps_anchor_target
HR5501,221.374434,0.71989,58653.07300826,58653.07559411,223.417,ADP.2019-06-20T01:07:53.676,100340439,ivo://eso.org/ID?ADP.2019-06-20T01:07:53.676,HARPS,HARPS,spectrum,flux-not-calibrated,2,2019-06-19T01:55:44.517Z,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-06-20T01:07:53.676,5264,108 Vir
HR5501,221.375121,0.72009,58653.07756742,58653.07930353,149.999,ADP.2019-06-20T01:07:53.678,100340440,ivo://eso.org/ID?ADP.2019-06-20T01:07:53.678,HARPS,HARPS,spectrum,flux-not-calibrated,2,2019-06-19T02:00:22.243Z,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-06-20T01:07:53.678,5287,108 Vir
HR5501,221.375118,0.71996,58653.08007403,58653.08181014,149.999,ADP.2019-06-20T01:07:53.680,100340440,ivo://eso.org/ID?ADP.2019-06-20T01:07:53.680,HARPS,HARPS,spectrum,flux-not-calibrated,2,2019-06-19T02:05:48.217Z,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-06-20T01:07:53.680,5287,108 Vir
HR5501,221.37472,0.71941,58654.02914491,58654.03088102,149.999,ADP.2019-06-21T01:19:51.376,100340440,ivo://eso.org/ID?ADP.2019-06-21T01:19:51.376,HARPS,HARPS,spectrum,flux-not-calibrated,2,2019-06-20T00:50:28.400Z,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-06-21T01:19:51.376,5287,108 Vir
HR5501,221.374406,0.71909,58654.03631647,58654.03890232,223.417,ADP.2019-06-21T01:19:51.378,100340439,ivo://eso.org/ID?ADP.2019-06-21T01:19:51.378,HARPS,HARPS,spectrum,flux-not-calibrated,2,2019-06-20T01:00:25.110Z,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-06-21T01:19:51.378,5264,108 Vir
108 Vir,221.374576,0.71953,61133.32015034,61133.32223363,179.995,ADP.2026-04-04T01:01:09.387,1000580632,ivo://eso.org/ID?ADP.2026-04-04T01:01:09.387,HARPS,HARPS,spectrum,flux-not-calibrated,2,2026-04-03T07:50:53Z,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2026-04-04T01:01:09.387,5261,108 Vir
108 Vir,221.374454,0.71918,61133.32260256,61133.32468585,179.996,ADP.2026-04-04T01:01:09.389,1000580632,ivo://eso.org/ID?ADP.2026-04-04T01:01:09.389,HARPS,HARPS,spectrum,flux-not-calibrated,2,2026-04-03T07:50:53Z,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2026-04-04T01:01:09.389,5261,108 Vir
108 Vir,221.374288,0.71918,61133.32505664,61133.32713993,179.996,ADP.2026-04-04T01:01:09.391,1000580632,ivo://eso.org/ID?ADP.2026-04-04T01:01:09.391,HARPS,HARPS,spectrum,flux-not-calibrated,2,2026-04-03T07:55:50Z,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2026-04-04T01:01:09.391,5261,108 Vir
108 Vir,221.373101,0.71996,61162.22005967,61162.22214296,179.996,ADP.2026-05-06T14:18:06.127,1000580632,ivo://eso.org/ID?ADP.2026-05-06T14:18:06.127,HARPS,HARPS,spectrum,flux-not-calibrated,2,2026-05-04T12:32:27Z,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2026-05-06T14:18:06.127,5261,108 Vir
108 Vir,221.373252,0.72009,61162.22251211,61162.2245954,179.996,ADP.2026-05-06T14:18:06.129,1000580632,ivo://eso.org/ID?ADP.2026-05-06T14:18:06.129,HARPS,HARPS,spectrum,flux-not-calibrated,2,2026-05-04T12:32:27Z,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2026-05-06T14:18:06.129,5261,108 Vir
