target_name,s_ra,s_dec,n_nirps_products,n_harps_products,n_nirps_epochs,n_harps_epochs,nirps_first_mjd,nirps_last_mjd,harps_first_mjd,harps_last_mjd,pair_1h,pair_6h,pair_1d,pair_3d,pair_7d,query_error
108 Vir,221.37432,0.71997,15,11,15,11,60896.01111123,61162.22429564,58653.07300826,61162.22496582,6,6,6,6,6,
1191074832968581760,236.315738,13.50966,1,1,1,1,60800.24088447,60800.24088447,60800.24074616,60800.24074616,1,1,1,1,1,
1739379433242806144,321.939677,7.29507,1,0,1,0,60786.39252731,60786.39252731,,,0,0,0,0,0,
1787984409900989824,318.0484115,17.5518,14,3,14,3,60799.40735815,61231.27810544,60872.27678604,60998.00272468,3,3,3,3,3,
2955804675022081792,77.046861,-27.52753,1,1,1,1,60613.33231196,60613.33231196,60613.3320725,60613.3320725,1,1,1,1,1,
2MASS 08234331-0511218,125.930825,-5.18763,10,0,10,0,60729.07464049,60730.23951777,,,0,0,0,0,0,
2MASS 14030609-0128489,210.7745395,-1.47983,6,0,6,0,60729.23035814,60730.35253338,,,0,0,0,0,0,
2MASS J07074308-2742463,106.930798,-27.71111,5,0,5,0,60756.01006486,60756.03560886,,,0,0,0,0,0,
2MASS J09221688-0852105,140.571998,-8.869975,4,0,4,0,60797.0306828,60797.05429162,,,0,0,0,0,0,
2MASS J09332625-4353366,143.356297,-43.89134,3,0,3,0,60755.09544386,60755.11195713,,,0,0,0,0,0,
2MASS J09584191-5344477,149.679064,-53.74812,5,0,5,0,61185.98599572,61186.01437798,,,0,0,0,0,0,
2MASS J10313234-5338010,157.880554,-53.6323,7,0,7,0,61186.03618249,61190.05670876,,,0,0,0,0,0,
2MASS J10350614+1907059,158.773233,19.11623,6,0,6,0,60729.14720923,60730.29692874,,,0,0,0,0,0,
2MASS J10352029-2058382,158.832267,-20.974545,4,0,4,0,60755.14601699,60755.16730363,,,0,0,0,0,0,
2MASS J10433395-4437206,160.890622,-44.62008,2,0,2,0,60729.17746303,60729.18855787,,,0,0,0,0,0,
2MASS J11231964-0509045,170.83014550000001,-5.14999,4,0,4,0,60797.06622557,60797.08925384,,,0,0,0,0,0,
2MASS J11243908-4213114,171.15823,-42.21935,5,0,5,0,61202.99562244,61203.02400462,,,0,0,0,0,0,
2MASS J11423454+2057553,175.6397935,20.96142,6,0,6,0,60729.20487828,60730.2653847,,,0,0,0,0,0,
2MASS J11472212-5424398,159.8265275,-41.17624,10,0,10,0,61180.01369579,61187.04923549,,,0,0,0,0,0,
2MASS J16334908-6808480,248.448152,-68.14981499999999,2,0,2,0,60755.29902694,60755.30786411,,,0,0,0,0,0,
2MASS J16541588-3818593,253.56494700000002,-38.31923,6,0,6,0,61188.25417795,61189.18214865,,,0,0,0,0,0,
2MASS J17082971-5131529,257.124388,-51.5332,5,0,5,0,60729.33640642,60730.37904651,,,0,0,0,0,0,
2MASS J17364180-3425459,264.1726715,-34.42898,4,0,4,0,60755.40010939,60755.41094624,,,0,0,0,0,0,
2MASS J17442494-5834151,266.101274,-58.57134,1,0,1,0,61202.25487914,61202.25487914,,,0,0,0,0,0,
2MASS J17574638-4419177,269.44261400000005,-44.32286,2,0,2,0,60755.38353099,60755.38946545,,,0,0,0,0,0,
2MASS J18525777-5708141,283.237784,-57.14267,5,0,5,0,61216.1308759,61216.15925812,,,0,0,0,0,0,
2MASS J18545092-5704417,283.703993,-57.080955,4,0,4,0,60797.28529096,60797.30889977,,,0,0,0,0,0,
2MASS J19212977-2915507,290.377607,-29.26018,4,0,4,0,60797.36476297,60797.3817923,,,0,0,0,0,0,
2MASSI J1424187-351432,216.0779495,-35.24297,4,0,4,0,60797.14124724,60797.16485607,,,0,0,0,0,0,
3097269490318754176,125.346095,7.8168,1,1,1,1,60616.36286874,60616.36286874,60616.36286375,60616.36286375,1,1,1,1,1,
3198650544073202688,69.022087,-6.3831,3,2,3,2,60586.28050867,60654.31048466,60586.28026003,60586.31095618,2,2,2,2,2,
3472253945241732736,188.559618,-27.62855,1,1,1,1,60799.07250556,60799.07250556,60799.07239355,60799.07239355,1,1,1,1,1,
4188152322648398592,291.604489,-10.76071,15,3,15,3,60798.3719435,61226.21736694,60799.33974766,60914.0784454,3,3,3,3,3,
4188996885011268608,299.348469,-12.56627,1,1,1,1,60827.41063205,60827.41063205,60827.41046946,60827.41046946,1,1,1,1,1,
4224582166524567040,310.4731925,-3.43243,14,6,14,6,60800.37125529,61228.22864997,60800.37109637,60930.0812828,6,6,6,6,6,
4694084076943966080,31.35368,-69.24847,3,1,3,1,60829.39335863,60931.28025748,60931.28000638,60931.28000638,1,1,1,1,1,
4702845638429469056,10.122206,-68.49084500000001,2,0,2,0,61228.4006894,61228.40952658,,,0,0,0,0,0,
4764340705296117120,76.273361,-56.55658,3,3,3,3,60797.96004571,60879.39565329,60797.95990673,60879.39559519,3,3,3,3,3,
4767186928583729792,88.304508,-56.26581,1,1,1,1,60613.32257134,60613.32257134,60613.3224781,60613.3224781,1,1,1,1,1,
4842246017566495232,59.697159,-42.03108,1,1,1,1,60616.25533417,60616.25533417,60616.25535823,60616.25535823,1,1,1,1,1,
4846381143359598592,50.802154,-45.7003,19,9,19,9,60616.20056775,61228.421783,60616.20038642,61106.00910144,9,9,9,9,9,
4847265734823582848,50.165933499999994,-44.626665,4,0,4,0,61233.39069212,61233.42223507,,,0,0,0,0,0,
4863699860246818304,54.864824,-31.40387,1,1,1,1,60616.24101368,60616.24101368,60616.24084665,60616.24084665,1,1,1,1,1,
4976018031041457664,10.059462,-47.1386,1,0,1,0,60914.37440114,60914.37440114,,,0,0,0,0,0,
4983571882081864960,18.239951,-43.44059,1,1,1,1,60586.23799802,60586.23799802,60586.23799437,60586.23799437,1,1,1,1,1,
5052449001298518528,43.591915,-31.79534,1,1,1,1,60616.21488823,60616.21488823,60616.2148444,60616.2148444,1,1,1,1,1,
5085864568417061120,52.776104,-24.69655,1,1,1,1,60587.38205503,60587.38205503,60587.38185938,60587.38185938,1,1,1,1,1,
5148853253106611200,29.553681,-14.87889,15,5,15,5,60587.29296676,61231.36603116,60635.12946045,60915.34719875,5,5,5,5,5,
5271515801094390912,130.01588,-68.53375,1,1,1,1,60621.32045113,60621.32045113,60621.32033831,60621.32033831,1,1,1,1,1,
5284372837240905344,93.466866,-65.5146,17,13,17,13,60613.34166564,61154.97434103,60637.33043092,61154.974351,12,12,12,12,12,
5329058707789307648,131.053176,-48.23456,11,9,11,9,60587.36644416,60765.22518626,60587.36624844,60842.99812177,7,7,7,7,7,
5375875638010549376,172.867299,-44.625755,2,0,2,0,61232.96731966,61232.97744694,,,0,0,0,0,0,
5391312403307270784,160.640472,-42.68017,1,1,1,1,60621.36392906,60621.36392906,60621.3637994,60621.3637994,1,1,1,1,1,
5486916932205092352,107.4091305,-57.060590000000005,2,2,2,2,60613.34811662,60654.28706773,60613.34796864,60654.28682841,2,2,2,2,2,
