target,simbad_main_id,simbad_object_type,simbad_ra_deg,simbad_dec_deg,simbad_coordinate_bibcode,gaia_dr3_source_id,gaia_identifier_count,identity_status,match_method,match_radius_arcsec,gaia_source_id,gaia_ref_epoch,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pmra,gaia_pmra_error,gaia_pmdec,gaia_pmdec_error,gaia_ruwe,gaia_duplicated_source,gaia_phot_g_mean_mag,gaia_bp_rp,gaia_radial_velocity,gaia_radial_velocity_error,astrometric_context_boundary
HD 10476,* 107 Psc,PM*,25.624010521366664,20.26851268269722,2020yCat.1350....0G,96331172942614528,1,unique,exact SIMBAD identifier,,96331172942614528,2016.0,25.62258568627586,0.12091877,20.26551918225611,0.090553164,130.823369060264,0.15318972,-300.73691840079994,0.13664803,-673.5388952717276,0.10562495,1.2618266,False,4.99968,1.0224853,-33.697662,0.12617125,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 10700,* tau Cet,PM*,26.01701307163417,-15.93747989102139,2020yCat.1350....0G,2452378776434477184,1,unique,exact SIMBAD identifier,,2452378776434477184,2016.0,26.009055057160104,0.11874772,-15.933680200693855,0.08320959,273.80974511859966,0.17013045,-1721.7277944720731,0.18087587,854.9631570589582,0.08807259,2.634341,False,3.3003998,1.0512211,,,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 10780,HD  10780,BY*,26.936810149182495,63.852503056109164,2020yCat.1350....0G,512167948043650816,1,unique,exact SIMBAD identifier,,512167948043650816,2016.0,26.94267663257596,0.02552686,63.85140778824967,0.028994752,99.59015235307108,0.04383567,581.6839683076576,0.031530995,-246.4622673488973,0.036696628,0.9826679,False,5.4103966,0.9710283,2.6153479,0.11972526,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 110897,*  10 CVn,PM*,191.24752068427662,39.27891614786027,2020yCat.1350....0G,1521686782461765888,1,unique,exact SIMBAD identifier,,1521686782461765888,2016.0,191.2454554246112,0.019658033,39.27953401498874,0.017379347,56.95876286948424,0.03228926,-359.69874606984007,0.017870087,139.01619673413714,0.018434351,0.8316593,False,5.8030252,0.7564149,80.49385,0.12366461,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 115617,*  61 Vir,PM*,199.60130827686294,-18.311193819050562,2020yCat.1350....0G,3507879565090229888,1,unique,exact SIMBAD identifier,,3507879565090229888,2016.0,199.596298132351,0.103657864,-18.31592210064546,0.10994823,117.1726460991387,0.1455929,-1070.2015735200084,0.15287328,-1063.8486605375715,0.12301945,1.1792638,False,4.5325284,0.898438,-7.864339,0.12939139,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 116442,HD 116442,PM*,200.91314026185998,2.72332682431,2020yCat.1350....0G,3712538708114516736,1,unique,exact SIMBAD identifier,,3712538708114516736,2016.0,200.91319573299,0.019807199,2.724212587821728,0.012972855,60.281691403362,0.02312667,12.466559339996708,0.028195756,199.2912011499005,0.017219283,0.9869559,False,6.85049,0.983655,28.297716,0.12856711,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 126053,HD 126053,PM*,215.81368656076452,1.2415670193588888,2020yCat.1350....0G,3654496279558010624,1,unique,exact SIMBAD identifier,,3654496279558010624,2016.0,215.81468026516512,0.034133635,1.2394413528832344,0.036628786,57.27057989858388,0.037523143,223.53142956437677,0.04835123,-478.2748533208476,0.031127062,1.1358501,False,6.092967,0.82366705,-19.208466,0.13645539,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 127334,HD 127334,PM*,217.40336988418,41.79591262141,2020yCat.1350....0G,1491593733326694912,1,unique,exact SIMBAD identifier,,1491593733326694912,2016.0,217.4043319094924,0.011826367,41.79493324268516,0.014007977,42.75261450326973,0.017370963,161.3728791572052,0.013658988,-220.36120093816663,0.016704783,0.9719038,False,6.200569,0.8549509,-0.48496068,0.12118539,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 143761,* rho CrB,PM*,240.2610853714212,33.30351096454361,2020yCat.1350....0G,1323427759184545536,1,unique,exact SIMBAD identifier,,1323427759184545536,2016.0,240.26003097651244,0.032883056,33.30007876899923,0.042465422,57.10764192152077,0.050787035,-198.27831508830613,0.042978335,-772.2452745156925,0.052787043,1.0011556,False,5.2328,0.79895544,17.878246,0.12020487,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 146233,*  18 Sco,PM*,243.90529281485533,-8.369439479286111,2020yCat.1350....0G,4345775217221821312,1,unique,exact SIMBAD identifier,,4345775217221821312,2016.0,243.90633606006,0.06594648,-8.371641161548801,0.054807477,70.73714672122247,0.06312427,232.2303207442892,0.075104885,-495.3782016299215,0.06683662,0.98405105,False,5.327651,0.81707716,11.711005,0.12072877,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 154345,HD 154345,PM*,255.6516825376579,47.08187893734778,2020yCat.1350....0G,1359938520253565952,1,unique,exact SIMBAD identifier,,1359938520253565952,2016.0,255.65248712127016,0.014351238,47.08567289069349,0.016276326,54.73589758953965,0.01757417,123.273728537682,0.018706664,853.6388701963417,0.023297934,1.0363173,False,6.5836673,0.9049978,-47.076763,0.1249427,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 157214,* w Her,RG*,260.1648643743333,32.46774387746111,2020yCat.1350....0G,1333760419707327744,1,unique,exact SIMBAD identifier,,1333760419707327744,2016.0,260.16557980211155,0.042723555,32.46311742250856,0.04613159,68.55754109923836,0.05527961,135.8104459559967,0.057691067,-1040.952821790978,0.0535035,1.2092994,False,5.2098746,0.8206105,-78.53637,0.12254109,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 166620,HD 166620,PM*,272.4059008797504,38.45777722677251,2020yCat.1350....0G,4610177733290768896,1,unique,exact SIMBAD identifier,,4610177733290768896,2016.0,272.4041047822828,0.012795192,38.45569569551031,0.015289119,90.12337582042169,0.0155898025,-316.45442321519323,0.017659565,-468.3476190825831,0.019876208,1.0380744,False,6.1298075,1.0834298,-19.511093,0.12396163,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 168009,HD 168009,PM*,273.88526414835,45.20931686299,2020yCat.1350....0G,2115351387048328832,1,unique,exact SIMBAD identifier,,2115351387048328832,2016.0,273.8847765893452,0.014088638,45.20880689744349,0.0155240735,42.934767999584665,0.015755154,-77.28976881332912,0.017845158,-114.74768832765268,0.018424133,0.95885587,False,6.149785,0.80211496,-64.50502,0.11943581,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 170657,HD 170657,PM*,277.82900419762996,-18.90881383739,2020yCat.1350....0G,4093301474693288960,1,unique,exact SIMBAD identifier,,4093301474693288960,2016.0,277.82835490136483,0.027854161,-18.90968252923386,0.027896022,75.84760043520981,0.034853466,-138.2153033040824,0.029068366,-195.46587993920184,0.021724734,0.7098678,False,6.5646515,1.0611329,-43.382576,0.12905234,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 172051,HD 172051,**,279.7225044145699,-21.05187527402,2020yCat.1350....0G,4079684229322231040,1,unique,exact SIMBAD identifier,,4079684229322231040,2016.0,279.722148569977,0.10595767,-21.05255555408361,0.07882365,76.74052986202392,0.049390327,-74.71765460913085,0.15091331,-153.05579093380402,0.107699536,0.84906036,False,5.6792855,0.8573408,37.03005,0.13435493,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 179957,HD 179957,PM*,288.01949584708956,49.85388828653778,2020yCat.1350....0G,2132788541955849216,1,unique,exact SIMBAD identifier,,2132788541955849216,2016.0,288.0182155798421,0.013472578,49.85668878637743,0.014643133,39.578411311616,0.014709061,-185.723609656158,0.016981447,630.1108783316924,0.01781501,0.97826606,False,6.5395017,0.8281636,-41.818756,0.24230477,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 182572,* b Aql,PM*,291.24249988095914,11.94441346681389,2020yCat.1350....0G,4315804351350378496,1,unique,exact SIMBAD identifier,,4315804351350378496,2016.0,291.24577656808344,0.040496927,11.947271123353104,0.046152074,67.01526888035684,0.065657094,721.2921943048541,0.053558353,642.9684532716341,0.058997493,0.71956986,False,4.9713717,0.90421486,-100.325775,0.11831059,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 185144,* sig Dra,PM*,293.0899592077504,69.66117661255723,2020yCat.1350....0G,2261614264931057664,1,unique,exact SIMBAD identifier,,2261614264931057664,2016.0,293.09759805108064,0.07537425,69.65345106254792,0.070781715,173.49391001786597,0.07480691,597.3842379704172,0.115345165,-1738.286102386087,0.10216282,1.6816003,False,4.449041,0.9943154,26.55193,0.12786111,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 186408,*  16 Cyg A,**,295.45397291507,50.52506098244,2020yCat.1350....0G,2135550755683405952,1,unique,exact SIMBAD identifier,,2135550755683405952,2016.0,295.4529380382418,0.01928777,50.524354203106455,0.020860804,47.32389118459047,0.019748962,-148.03360534410842,0.027583474,-159.02973218446795,0.02800343,1.0067511,False,5.8180733,0.8132467,-27.309574,0.13396926,identity/context only; RUWE and other Gaia fields are not companion classifications
HD 186427,*  16 Cyg B,PM*,295.46655282394,50.51752473081,2020yCat.1350....0G,2135550755683407232,1,unique,exact SIMBAD identifier,,2135550755683407232,2016.0,295.46561283744234,0.013912225,50.51680164969824,0.02219586,47.33016209584275,0.01712145,-134.48157726218378,0.018312251,-162.69759630921152,0.026860405,0.98676294,False,6.0734186,0.82615995,-27.865486,0.12334428,identity/context only; RUWE and other Gaia fields are not companion classifications
