period,semi_amplitude,delta_completeness
5.0,0.5,0.05416666666666667
5.0,1.0,0.15416666666666667
5.0,1.5,0.15416666666666667
5.0,2.0,0.1958333333333333
5.0,3.0,0.16666666666666663
5.0,5.0,0.09166666666666656
10.0,0.5,0.08333333333333331
10.0,1.0,0.175
10.0,1.5,0.1833333333333334
10.0,2.0,0.1708333333333334
10.0,3.0,0.17083333333333328
10.0,5.0,0.0625
30.0,0.5,0.03333333333333334
30.0,1.0,0.1
30.0,1.5,0.125
30.0,2.0,0.14583333333333326
30.0,3.0,0.16666666666666663
30.0,5.0,0.07916666666666683
100.0,0.5,0.0625
100.0,1.0,0.07500000000000001
100.0,1.5,0.10833333333333328
100.0,2.0,0.14583333333333337
100.0,3.0,0.12916666666666676
100.0,5.0,0.08749999999999991
300.0,0.5,0.016666666666666677
300.0,1.0,-0.0625
300.0,1.5,-0.10000000000000003
300.0,2.0,-0.09583333333333338
300.0,3.0,-0.12499999999999994
300.0,5.0,-0.14166666666666672
500.0,0.5,-0.1708333333333333
500.0,1.0,-0.21250000000000002
500.0,1.5,-0.22500000000000003
500.0,2.0,-0.26666666666666666
500.0,3.0,-0.3458333333333334
500.0,5.0,-0.45416666666666666
