target,held_out_run,n_retained,period,median_k_transfer,worst_phase_k_transfer
HD 10476,RUN1,88,5.0,0.9923482873691244,0.9722945219129293
HD 10476,RUN1,88,10.0,0.9918189997781846,0.982891743548792
HD 10476,RUN1,88,30.0,0.9911262510804324,0.9910409504799236
HD 10476,RUN1,88,100.0,0.9153323690564282,0.6219715815778858
HD 10476,RUN1,88,300.0,0.8024598240699861,0.7894483090894544
HD 10476,RUN1,88,500.0,0.9198519479302476,0.31302066564713404
HD 10476,RUN2,51,5.0,0.9652368651848207,0.9474962595235793
HD 10476,RUN2,51,10.0,0.9681133654521015,0.9150930358395432
HD 10476,RUN2,51,30.0,0.9464790217276318,0.9413426567474652
HD 10476,RUN2,51,100.0,0.9671843814566017,0.865501024086203
HD 10476,RUN2,51,300.0,0.9295101829708511,0.8212854392126787
HD 10476,RUN2,51,500.0,0.8794907284861357,0.8431930292298776
HD 10700,RUN0.5,590,5.0,0.9932447354440517,0.9922648192558486
HD 10700,RUN0.5,590,10.0,0.9976223940635252,0.9937424625046167
HD 10700,RUN0.5,590,30.0,0.9989498953396283,0.9979684948206913
HD 10700,RUN0.5,590,100.0,0.9608008353393251,0.9504668273499512
HD 10700,RUN0.5,590,300.0,0.7258625163103472,0.2634054510937031
HD 10700,RUN0.5,590,500.0,0.8639040425424617,0.189181564792124
HD 10700,RUN1,388,5.0,0.9838424257836906,0.961792946031867
HD 10700,RUN1,388,10.0,0.9553860339313948,0.94708748909507
HD 10700,RUN1,388,30.0,0.9739261120417679,0.9616130488629044
HD 10700,RUN1,388,100.0,0.9840734719034887,0.9549372687390829
HD 10700,RUN1,388,300.0,0.7136806338781452,0.6475507078099774
HD 10700,RUN1,388,500.0,0.9717882587757405,0.9130915361991889
HD 10700,RUN2,226,5.0,0.9473990386163014,0.9398806385643459
HD 10700,RUN2,226,10.0,0.9241188772041335,0.886051457851235
HD 10700,RUN2,226,30.0,0.9561448064763853,0.9490673000787367
HD 10700,RUN2,226,100.0,0.9594605332885111,0.9066564184210496
HD 10700,RUN2,226,300.0,0.8857047725794748,0.8833364934376859
HD 10700,RUN2,226,500.0,0.7776664337733302,0.16320387556227256
HD 10780,RUN1,60,5.0,0.9902978884452975,0.9757888373760512
HD 10780,RUN1,60,10.0,0.9798411094308589,0.972351713623283
HD 10780,RUN1,60,30.0,0.9168822891677025,0.8879708468789775
HD 10780,RUN1,60,100.0,0.9568588494463739,0.9538655679197218
HD 10780,RUN1,60,300.0,0.9059890085060316,0.8231140694723035
HD 10780,RUN1,60,500.0,0.9561461750929736,0.9224340976089583
HD 10780,RUN2,32,5.0,0.9954155411202046,0.9901743042514436
HD 10780,RUN2,32,10.0,0.9535308128874238,0.9480700279100189
HD 10780,RUN2,32,30.0,0.9875943514824599,0.9665060974598743
HD 10780,RUN2,32,100.0,0.9665384532667818,0.9242180925933263
HD 10780,RUN2,32,300.0,0.9449557961472004,0.7631563269868105
HD 10780,RUN2,32,500.0,0.8309003912674542,0.7417654967780498
HD 110897,RUN1,83,5.0,0.9741514218254332,0.973947142724582
HD 110897,RUN1,83,10.0,0.9793461729074123,0.9777849608493109
HD 110897,RUN1,83,30.0,0.9879978362772248,0.9789176420904344
HD 110897,RUN1,83,100.0,0.9339456704167648,0.9056519132791325
HD 110897,RUN1,83,300.0,0.8763662694190079,0.7841830981693789
HD 110897,RUN1,83,500.0,0.8968525179052618,0.5173426216450773
HD 110897,RUN2,31,5.0,0.978098892431906,0.9758289232352532
HD 110897,RUN2,31,10.0,0.9581251217229496,0.9534567699811711
