target,model,run,jitter_mps
HD 10476,baseline,all,1.7505656792900834
HD 10476,era,RUN1,1.1689614032985607
HD 10476,era,RUN2,2.0080647391307234
HD 10476,era_activity,RUN1,1.0361421999113487
HD 10476,era_activity,RUN2,1.4007892377488576
HD 10700,baseline,all,1.2345434875806511
HD 10700,era,RUN0.5,0.10909546057011617
HD 10700,era,RUN1,0.8098821855277656
HD 10700,era,RUN2,1.0497469078716197
HD 10700,era_activity,RUN0.5,6.484498577338996e-06
HD 10700,era_activity,RUN1,0.7911576580639978
HD 10700,era_activity,RUN2,1.049344808599905
HD 10780,baseline,all,2.377028021006395
HD 10780,era,RUN1,2.0968544730497682
HD 10780,era,RUN2,2.4973797077862105
HD 10780,era_activity,RUN1,1.8516387492615742
HD 10780,era_activity,RUN2,1.9738389196756194
HD 110897,baseline,all,1.8135057027470796
HD 110897,era,RUN1,1.3859578746254158
HD 110897,era,RUN2,1.9439656769287463
HD 110897,era_activity,RUN1,0.8730360515067325
HD 110897,era_activity,RUN2,1.2172388998880468
HD 115617,baseline,all,3.5216379283199317
HD 115617,era,RUN0.5,1.4208117162700447
HD 115617,era,RUN1,3.6027173951446905
HD 115617,era,RUN2,3.559271239093753
HD 115617,era_activity,RUN0.5,1.4310624197485016
HD 115617,era_activity,RUN1,3.579325537104136
HD 115617,era_activity,RUN2,3.5626202487290786
HD 116442,baseline,all,0.5825693221872797
HD 116442,era,RUN1,0.629623878159206
HD 116442,era,RUN2,0.4533839065957494
HD 116442,era_activity,RUN1,0.6263344618888089
HD 116442,era_activity,RUN2,0.45226922080289633
HD 126053,baseline,all,1.4515419959320464
HD 126053,era,RUN1,1.3930990862753947
HD 126053,era,RUN2,1.3390642925767917
HD 126053,era_activity,RUN1,1.077163924184447
HD 126053,era_activity,RUN2,1.3113332863273153
HD 127334,baseline,all,1.0895563607004015
HD 127334,era,RUN0.5,0.8765792511339452
HD 127334,era,RUN1,1.1006063795830678
HD 127334,era,RUN2,0.9331368499620147
HD 127334,era_activity,RUN0.5,0.8861392040902207
HD 127334,era_activity,RUN1,1.1079422180570189
HD 127334,era_activity,RUN2,0.9254802827326137
HD 143761,baseline,all,47.90650622817119
HD 143761,era,RUN0.5,47.048532715386706
HD 143761,era,RUN1,47.86595372012788
HD 143761,era,RUN2,46.606656498956944
HD 143761,era_activity,RUN0.5,47.13801406342713
HD 143761,era_activity,RUN1,47.70616595043017
HD 143761,era_activity,RUN2,46.65872389315544
HD 146233,baseline,all,2.9501872056543177
HD 146233,era,RUN1,1.9356554717518428
HD 146233,era,RUN2,2.1237460996639594
HD 146233,era_activity,RUN1,1.5058096815586561
HD 146233,era_activity,RUN2,1.6582513246110324
HD 154345,baseline,all,6.340673389366465
HD 154345,era,RUN1,2.7435948445834866
HD 154345,era,RUN2,3.5841717130459827
HD 154345,era_activity,RUN1,2.8828790832050877
HD 154345,era_activity,RUN2,3.508351927920487
HD 157214,baseline,all,1.160779660996164
HD 157214,era,RUN0.5,0.0
HD 157214,era,RUN1,0.9955783465689668
HD 157214,era,RUN2,0.9886339316026477
HD 157214,era_activity,RUN0.5,0.0
HD 157214,era_activity,RUN1,0.972147767778118
HD 157214,era_activity,RUN2,0.9811710729467255
HD 166620,baseline,all,0.8747014306966978
HD 166620,era,RUN0.5,0.564883358851897
