target,rv_gls_best_period_days,rv_gls_best_power,rv_gls_analytic_fap,activity_gls_best_period_days,activity_gls_best_power,activity_gls_analytic_fap
HD 10476,19.910448307716553,0.25392011060371217,4.967144643298267e-06,500.0,0.9143553781362252,3.251077238065476e-69
HD 10700,122.60774260473082,0.29742180616033875,2.2365347548171703e-42,2.5291530492450485,0.1130367271515535,2.555104962005107e-12
HD 10780,25.63375132548593,0.3611634294715115,2.900895153781708e-06,146.54345607069226,0.21469432079075187,0.01905480417679874
HD 110897,11.621521625677232,0.14023672257372868,0.1956327031052845,500.0,0.23534608972278817,0.0004442812953807722
HD 115617,37.954737104553104,0.5207068553816874,1.5635175235138576e-29,29.169788717397015,0.08717350115066778,0.14125249205018678
HD 116442,40.621685126079996,0.2441632860906893,0.006477116093845113,500.0,0.3490984285315315,1.465081056232104e-05
HD 126053,11.606052500303502,0.261266017820386,0.000502956912723208,72.82724067078291,0.29068412389259446,7.559633919573052e-05
HD 127334,376.4604326317441,0.18684559862146213,3.968849836292574e-15,484.1132979197499,0.1560105703664936,7.013314635436004e-12
HD 143761,39.87152079910748,0.9611309416756247,1.090446730823446e-84,13.984501495766837,0.1282650695093074,0.19675399271273844
HD 146233,19.9105591451298,0.37605484824583835,1.765466702917098e-05,310.1301307558932,0.6363795362210493,3.6989044163529424e-14
HD 154345,2.2390632436601825,0.20318241236258786,0.1137172236399877,25.346256741354267,0.21687819570432038,0.06317791055499446
HD 157214,500.0,0.21127664547751096,0.03807670725488823,47.53676964250192,0.161888570253263,0.33841447620451715
HD 166620,120.48199858073471,0.18713113853564656,0.03481405723693823,2.33083877103238,0.17938062233813337,0.050673139456367096
HD 168009,15.129289925943942,0.2587052816388934,0.0022123932393374843,31.336260426038898,0.29477758954683775,0.00027817087425313376
HD 170657,13.311093650809164,0.2257539697884142,0.18948996463788395,450.35341891816364,0.7699121746759325,6.21995190789774e-17
HD 172051,176.41259132145342,0.41096931547353266,0.0007327684821952929,288.3995450624489,0.8675039283777467,6.813118466867576e-20
HD 179957,250.14188567805786,0.3794864694664934,0.03583708145460477,28.332208712857316,0.3282063793004354,0.14229855595829075
HD 182572,20.50831903417512,0.2845882895697095,0.0039950894992178175,36.336146691544876,0.48125526727059226,5.784237903485608e-08
HD 185144,427.57127344779684,0.2759497408200759,2.2841653347597032e-29,247.96986093749803,0.19008587220054313,4.1211161193234436e-18
HD 186408,122.28027009438013,0.3085047273010483,0.03388475609092469,293.0747113480099,0.2803255234068943,0.08778464931315351
HD 186427,286.3396005421397,0.5255851280765732,2.0893994364208622e-06,233.512402940332,0.39130819083606194,0.0011874830866874199
HD 187923,45.6813250386618,0.2947094022516661,0.05893591846298748,8.674580454495198,0.27861120964848146,0.0993848046306571
HD 190360,17.09916862765798,0.3074188586210813,0.0012702307584348874,40.43245843465759,0.24541139154512168,0.024602801106890695
HD 19373,2.7642875818458514,0.14911807219526585,0.0030615930040747714,500.0,0.4258797266847631,4.1142373081625604e-17
HD 201091,137.56739490211362,0.16904837820150748,0.0001306534663784973,36.74212702388818,0.322932249942441,1.7127987854653318e-12
HD 217107,7.1275073202296895,0.9449675202384933,6.433269740427945e-30,3.10910928372472,0.19491008613642552,0.7783331127971334
HD 221354,91.33935938348432,0.3830796477374362,3.709804791465687e-18,160.08721014254317,0.10050678011542365,0.04438838946848189
HD 24496 A,500.0,0.4034012384329892,1.855206658259224e-06,500.0,0.7136263733730553,8.992243059164203e-19
HD 26965,42.211808148332565,0.5065407048287867,1.112293001297488e-20,476.91024805796934,0.5904315353567161,7.564338486582456e-27
HD 34411,7.367934204776851,0.17310019866098963,0.2377596052905679,500.0,0.6533371943125554,1.124450334538305e-16
HD 38858,378.4032420702997,0.41237330172124165,2.1151913507213344e-06,478.0544498733928,0.6817808617222011,2.732354239999563e-16
HD 4614 A,226.52315395985008,0.42133078297469606,8.617406649368055e-57,500.0,0.21212855079097048,5.726823299725461e-23
HD 4628,14.717498143585699,0.19476377117703572,5.559493999506715e-06,500.0,0.5319523660274627,2.470938451283782e-27
HD 50692,370.2970292971776,0.3057473192791752,0.00020095776370524242,136.2105067287464,0.20555954956530262,0.04604210953445337
HD 51419,51.150971713614986,0.1976926500683432,0.07535420390417355,260.2305119196252,0.3871916762713794,1.500165123449593e-06
HD 52711,94.10119762246461,0.17832417549161922,0.23930081991474958,500.0,0.23348527549046463,0.01983858589900263
HD 55575,52.58250211783942,0.3255390342644953,3.1228314420120446e-05,5.993886436082579,0.12728300309495794,0.8032847863374107
HD 68017,263.3425688152465,0.3680136124705152,1.9553018909177798e-08,170.8983221533255,0.20728233735836665,0.0033766597159746903
HD 86728,31.182220804610704,0.6281447047017438,1.2547465870088577e-28,3.141158233605206,0.10797919297408971,0.24526434280302023
HD 9407,51.98347418320512,0.19651426937601513,2.967410582657414e-06,288.20007634348894,0.24749459060343443,7.422671505929604e-09
