model,period,semi_amplitude,mean_completeness,median_completeness,n_targets
baseline,5.0,0.5,0.004166666666666667,0.0,40
baseline,5.0,1.0,0.17916666666666664,0.0,40
baseline,5.0,1.5,0.37083333333333335,0.0,40
baseline,5.0,2.0,0.5,0.41666666666666663,40
baseline,5.0,3.0,0.6583333333333333,1.0,40
baseline,5.0,5.0,0.8,1.0,40
baseline,10.0,0.5,0.025,0.0,40
baseline,10.0,1.0,0.19166666666666665,0.0,40
baseline,10.0,1.5,0.36666666666666664,0.0,40
baseline,10.0,2.0,0.5041666666666667,0.3333333333333333,40
baseline,10.0,3.0,0.6583333333333333,1.0,40
baseline,10.0,5.0,0.8208333333333334,1.0,40
baseline,30.0,0.5,0.06666666666666667,0.0,40
baseline,30.0,1.0,0.22083333333333335,0.0,40
baseline,30.0,1.5,0.4041666666666667,0.25,40
baseline,30.0,2.0,0.5166666666666667,0.5,40
baseline,30.0,3.0,0.65,1.0,40
baseline,30.0,5.0,0.8041666666666666,1.0,40
baseline,100.0,0.5,0.016666666666666666,0.0,40
baseline,100.0,1.0,0.19166666666666665,0.0,40
baseline,100.0,1.5,0.3875,0.25,40
baseline,100.0,2.0,0.475,0.5,40
baseline,100.0,3.0,0.6375,0.9166666666666667,40
baseline,100.0,5.0,0.7916666666666667,1.0,40
baseline,300.0,0.5,0.0875,0.0,40
baseline,300.0,1.0,0.21666666666666665,0.08333333333333333,40
baseline,300.0,1.5,0.33333333333333337,0.25,40
baseline,300.0,2.0,0.45,0.41666666666666663,40
baseline,300.0,3.0,0.5833333333333333,0.6666666666666666,40
baseline,300.0,5.0,0.7041666666666667,0.8333333333333334,40
baseline,500.0,0.5,0.19166666666666665,0.0,40
baseline,500.0,1.0,0.25833333333333336,0.08333333333333333,40
baseline,500.0,1.5,0.3375,0.16666666666666666,40
baseline,500.0,2.0,0.425,0.41666666666666663,40
baseline,500.0,3.0,0.5541666666666667,0.5,40
baseline,500.0,5.0,0.6916666666666667,0.8333333333333334,40
era,5.0,0.5,0.06666666666666667,0.0,40
