model,period,k50,k90
baseline,5.0,2.0,
baseline,10.0,1.9848484848484849,
baseline,30.0,1.9259259259259256,
baseline,100.0,2.153846153846154,
baseline,300.0,2.375,
baseline,500.0,2.5806451612903225,
era,5.0,1.5714285714285714,
era,10.0,1.5757575757575757,
era,30.0,1.558823529411765,
era,100.0,1.7702702702702702,
era,300.0,4.037037037037036,
era,500.0,,
era_activity,5.0,1.434782608695652,
era_activity,10.0,1.3636363636363635,
era_activity,30.0,1.43,
era_activity,100.0,1.5166666666666668,
era_activity,300.0,3.8000000000000003,
era_activity,500.0,,
