target,model,period,semi_amplitude,n_injections,n_recovered,completeness
HD 10476,baseline,5.0,0.5,6,0,0.0
HD 10476,baseline,5.0,1.0,6,0,0.0
HD 10476,baseline,5.0,1.5,6,3,0.5
HD 10476,baseline,5.0,2.0,6,6,1.0
HD 10476,baseline,5.0,3.0,6,6,1.0
HD 10476,baseline,5.0,5.0,6,6,1.0
HD 10476,baseline,10.0,0.5,6,0,0.0
HD 10476,baseline,10.0,1.0,6,0,0.0
HD 10476,baseline,10.0,1.5,6,1,0.16666666666666666
HD 10476,baseline,10.0,2.0,6,6,1.0
HD 10476,baseline,10.0,3.0,6,6,1.0
HD 10476,baseline,10.0,5.0,6,6,1.0
HD 10476,baseline,30.0,0.5,6,3,0.5
HD 10476,baseline,30.0,1.0,6,3,0.5
HD 10476,baseline,30.0,1.5,6,3,0.5
HD 10476,baseline,30.0,2.0,6,5,0.8333333333333334
HD 10476,baseline,30.0,3.0,6,6,1.0
HD 10476,baseline,30.0,5.0,6,6,1.0
HD 10476,baseline,100.0,0.5,6,1,0.16666666666666666
HD 10476,baseline,100.0,1.0,6,3,0.5
HD 10476,baseline,100.0,1.5,6,4,0.6666666666666666
HD 10476,baseline,100.0,2.0,6,4,0.6666666666666666
HD 10476,baseline,100.0,3.0,6,5,0.8333333333333334
HD 10476,baseline,100.0,5.0,6,6,1.0
HD 10476,baseline,300.0,0.5,6,0,0.0
HD 10476,baseline,300.0,1.0,6,0,0.0
HD 10476,baseline,300.0,1.5,6,0,0.0
HD 10476,baseline,300.0,2.0,6,1,0.16666666666666666
HD 10476,baseline,300.0,3.0,6,2,0.3333333333333333
HD 10476,baseline,300.0,5.0,6,4,0.6666666666666666
HD 10476,baseline,500.0,0.5,6,0,0.0
HD 10476,baseline,500.0,1.0,6,0,0.0
HD 10476,baseline,500.0,1.5,6,1,0.16666666666666666
HD 10476,baseline,500.0,2.0,6,2,0.3333333333333333
HD 10476,baseline,500.0,3.0,6,5,0.8333333333333334
HD 10476,baseline,500.0,5.0,6,5,0.8333333333333334
HD 10476,era,5.0,0.5,6,0,0.0
HD 10476,era,5.0,1.0,6,1,0.16666666666666666
HD 10476,era,5.0,1.5,6,3,0.5
HD 10476,era,5.0,2.0,6,6,1.0
HD 10476,era,5.0,3.0,6,6,1.0
HD 10476,era,5.0,5.0,6,6,1.0
HD 10476,era,10.0,0.5,6,0,0.0
HD 10476,era,10.0,1.0,6,0,0.0
HD 10476,era,10.0,1.5,6,4,0.6666666666666666
HD 10476,era,10.0,2.0,6,6,1.0
HD 10476,era,10.0,3.0,6,6,1.0
HD 10476,era,10.0,5.0,6,6,1.0
HD 10476,era,30.0,0.5,6,3,0.5
HD 10476,era,30.0,1.0,6,4,0.6666666666666666
HD 10476,era,30.0,1.5,6,4,0.6666666666666666
HD 10476,era,30.0,2.0,6,4,0.6666666666666666
HD 10476,era,30.0,3.0,6,6,1.0
HD 10476,era,30.0,5.0,6,6,1.0
HD 10476,era,100.0,0.5,6,0,0.0
HD 10476,era,100.0,1.0,6,0,0.0
HD 10476,era,100.0,1.5,6,3,0.5
HD 10476,era,100.0,2.0,6,4,0.6666666666666666
HD 10476,era,100.0,3.0,6,4,0.6666666666666666
HD 10476,era,100.0,5.0,6,6,1.0
HD 10476,era,300.0,0.5,6,0,0.0
HD 10476,era,300.0,1.0,6,0,0.0
HD 10476,era,300.0,1.5,6,0,0.0
HD 10476,era,300.0,2.0,6,1,0.16666666666666666
HD 10476,era,300.0,3.0,6,0,0.0
HD 10476,era,300.0,5.0,6,2,0.3333333333333333
HD 10476,era,500.0,0.5,6,0,0.0
HD 10476,era,500.0,1.0,6,0,0.0
HD 10476,era,500.0,1.5,6,0,0.0
HD 10476,era,500.0,2.0,6,0,0.0
HD 10476,era,500.0,3.0,6,0,0.0
HD 10476,era,500.0,5.0,6,1,0.16666666666666666
HD 10476,era_activity,5.0,0.5,6,0,0.0
HD 10476,era_activity,5.0,1.0,6,3,0.5
HD 10476,era_activity,5.0,1.5,6,6,1.0
HD 10476,era_activity,5.0,2.0,6,6,1.0
HD 10476,era_activity,5.0,3.0,6,6,1.0
HD 10476,era_activity,5.0,5.0,6,6,1.0
HD 10476,era_activity,10.0,0.5,6,3,0.5
HD 10476,era_activity,10.0,1.0,6,6,1.0
HD 10476,era_activity,10.0,1.5,6,6,1.0
HD 10476,era_activity,10.0,2.0,6,6,1.0
HD 10476,era_activity,10.0,3.0,6,6,1.0
HD 10476,era_activity,10.0,5.0,6,6,1.0
HD 10476,era_activity,30.0,0.5,6,1,0.16666666666666666
HD 10476,era_activity,30.0,1.0,6,3,0.5
HD 10476,era_activity,30.0,1.5,6,4,0.6666666666666666
HD 10476,era_activity,30.0,2.0,6,6,1.0
HD 10476,era_activity,30.0,3.0,6,6,1.0
HD 10476,era_activity,30.0,5.0,6,6,1.0
HD 10476,era_activity,100.0,0.5,6,2,0.3333333333333333
HD 10476,era_activity,100.0,1.0,6,3,0.5
HD 10476,era_activity,100.0,1.5,6,3,0.5
HD 10476,era_activity,100.0,2.0,6,4,0.6666666666666666
HD 10476,era_activity,100.0,3.0,6,4,0.6666666666666666
HD 10476,era_activity,100.0,5.0,6,6,1.0
HD 10476,era_activity,300.0,0.5,6,0,0.0
HD 10476,era_activity,300.0,1.0,6,0,0.0
HD 10476,era_activity,300.0,1.5,6,0,0.0
HD 10476,era_activity,300.0,2.0,6,1,0.16666666666666666
HD 10476,era_activity,300.0,3.0,6,2,0.3333333333333333
HD 10476,era_activity,300.0,5.0,6,4,0.6666666666666666
HD 10476,era_activity,500.0,0.5,6,0,0.0
HD 10476,era_activity,500.0,1.0,6,0,0.0
HD 10476,era_activity,500.0,1.5,6,0,0.0
HD 10476,era_activity,500.0,2.0,6,0,0.0
HD 10476,era_activity,500.0,3.0,6,0,0.0
HD 10476,era_activity,500.0,5.0,6,0,0.0
HD 10700,baseline,5.0,0.5,6,0,0.0
HD 10700,baseline,5.0,1.0,6,0,0.0
HD 10700,baseline,5.0,1.5,6,4,0.6666666666666666
HD 10700,baseline,5.0,2.0,6,6,1.0
HD 10700,baseline,5.0,3.0,6,6,1.0
HD 10700,baseline,5.0,5.0,6,6,1.0
HD 10700,baseline,10.0,0.5,6,0,0.0
HD 10700,baseline,10.0,1.0,6,0,0.0
HD 10700,baseline,10.0,1.5,6,6,1.0
HD 10700,baseline,10.0,2.0,6,6,1.0
HD 10700,baseline,10.0,3.0,6,6,1.0
HD 10700,baseline,10.0,5.0,6,6,1.0
HD 10700,baseline,30.0,0.5,6,0,0.0
HD 10700,baseline,30.0,1.0,6,0,0.0
HD 10700,baseline,30.0,1.5,6,5,0.8333333333333334
HD 10700,baseline,30.0,2.0,6,6,1.0
HD 10700,baseline,30.0,3.0,6,6,1.0
HD 10700,baseline,30.0,5.0,6,6,1.0
HD 10700,baseline,100.0,0.5,6,0,0.0
HD 10700,baseline,100.0,1.0,6,2,0.3333333333333333
HD 10700,baseline,100.0,1.5,6,5,0.8333333333333334
HD 10700,baseline,100.0,2.0,6,6,1.0
HD 10700,baseline,100.0,3.0,6,6,1.0
HD 10700,baseline,100.0,5.0,6,6,1.0
HD 10700,baseline,300.0,0.5,6,0,0.0
HD 10700,baseline,300.0,1.0,6,1,0.16666666666666666
HD 10700,baseline,300.0,1.5,6,2,0.3333333333333333
HD 10700,baseline,300.0,2.0,6,5,0.8333333333333334
HD 10700,baseline,300.0,3.0,6,5,0.8333333333333334
HD 10700,baseline,300.0,5.0,6,6,1.0
HD 10700,baseline,500.0,0.5,6,0,0.0
HD 10700,baseline,500.0,1.0,6,0,0.0
HD 10700,baseline,500.0,1.5,6,0,0.0
HD 10700,baseline,500.0,2.0,6,0,0.0
HD 10700,baseline,500.0,3.0,6,1,0.16666666666666666
HD 10700,baseline,500.0,5.0,6,5,0.8333333333333334
HD 10700,era,5.0,0.5,6,2,0.3333333333333333
HD 10700,era,5.0,1.0,6,4,0.6666666666666666
HD 10700,era,5.0,1.5,6,6,1.0
HD 10700,era,5.0,2.0,6,6,1.0
HD 10700,era,5.0,3.0,6,6,1.0
HD 10700,era,5.0,5.0,6,6,1.0
HD 10700,era,10.0,0.5,6,0,0.0
HD 10700,era,10.0,1.0,6,6,1.0
HD 10700,era,10.0,1.5,6,6,1.0
HD 10700,era,10.0,2.0,6,6,1.0
HD 10700,era,10.0,3.0,6,6,1.0
HD 10700,era,10.0,5.0,6,6,1.0
HD 10700,era,30.0,0.5,6,0,0.0
HD 10700,era,30.0,1.0,6,6,1.0
HD 10700,era,30.0,1.5,6,6,1.0
HD 10700,era,30.0,2.0,6,6,1.0
HD 10700,era,30.0,3.0,6,6,1.0
HD 10700,era,30.0,5.0,6,6,1.0
HD 10700,era,100.0,0.5,6,2,0.3333333333333333
HD 10700,era,100.0,1.0,6,4,0.6666666666666666
HD 10700,era,100.0,1.5,6,5,0.8333333333333334
HD 10700,era,100.0,2.0,6,5,0.8333333333333334
HD 10700,era,100.0,3.0,6,6,1.0
HD 10700,era,100.0,5.0,6,6,1.0
HD 10700,era,300.0,0.5,6,0,0.0
HD 10700,era,300.0,1.0,6,0,0.0
HD 10700,era,300.0,1.5,6,0,0.0
HD 10700,era,300.0,2.0,6,2,0.3333333333333333
HD 10700,era,300.0,3.0,6,3,0.5
HD 10700,era,300.0,5.0,6,4,0.6666666666666666
HD 10700,era,500.0,0.5,6,0,0.0
HD 10700,era,500.0,1.0,6,0,0.0
HD 10700,era,500.0,1.5,6,0,0.0
HD 10700,era,500.0,2.0,6,0,0.0
HD 10700,era,500.0,3.0,6,0,0.0
HD 10700,era,500.0,5.0,6,0,0.0
HD 10700,era_activity,5.0,0.5,6,2,0.3333333333333333
HD 10700,era_activity,5.0,1.0,6,5,0.8333333333333334
