target,n_observations,n_runs,baseline_days,median_formal_error_mps,baseline_power_threshold,era_power_threshold,era_activity_power_threshold
HD 10476,139,2,877.8316899999045,0.31,0.17307041297560108,0.1926845447126105,0.23727431887304654
HD 10700,602,3,1110.0116099999286,0.27999999999999997,0.041082705111662725,0.06785680198225265,0.04914660748146956
HD 10780,92,2,1001.9525500000454,0.33,0.27424798587002924,0.22480468126864844,0.30292794335102513
HD 110897,114,2,969.6926199998707,0.53,0.2523210198610574,0.23129170561827017,0.23696068502907935
HD 115617,207,3,1228.7532299999148,0.25999999999999995,0.10361860292853874,0.16476896787126852,0.18610853321263482
HD 116442,88,2,913.7510400000028,0.4,0.23029330008140156,0.26929398165173796,0.23189608193773453
HD 126053,100,2,937.6764199999161,0.43,0.2199019243126305,0.2575652398722746,0.2780073481260642
HD 127334,410,3,1269.702630000189,0.31,0.059703549764351334,0.062172094708872014,0.05729250324236444
HD 143761,128,3,1252.8582000001334,0.36000000000000004,0.22691103160490086,0.2033399240304936,0.21892877339292724
HD 146233,79,2,884.7488799998537,0.32,0.24968671989261423,0.2620423972875697,0.2639247607575065
HD 154345,79,2,1001.2400000002235,0.38,0.3060215991944816,0.2618944749644889,0.283172198905601
HD 157214,86,3,1068.1320800003596,0.38,0.25789373441644886,0.29736037474853694,0.27305867265884703
HD 166620,103,3,1216.9321600003168,0.33,0.22864969700397414,0.23166163554887945,0.23472545784918988
HD 168009,90,2,1014.0887299999595,0.37,0.23084407015254194,0.24894412345350375,0.25238603959443234
HD 170657,64,3,1133.898370000068,0.36000000000000004,0.40363671981347626,0.5645422610856204,0.43241240309910195
HD 172051,54,2,1022.2079100003466,0.39,0.40303588716549743,0.44210336210198264,0.361324633487167
HD 179957,42,2,1001.1357299997471,0.37,0.48987772865665996,0.5374543847164138,0.5016935713820301
HD 182572,75,2,1012.2460299995728,0.2,0.26606080731956916,0.2789666228549485,0.30093123717094133
HD 185144,470,3,1229.8621399998665,0.27,0.05018055569770037,0.06443542154293612,0.06289619513852251
HD 186408,55,2,944.2206999999471,0.32,0.3622232810681657,0.3907268088802307,0.45591839821686486
HD 186427,56,2,949.281589999795,0.36000000000000004,0.3566768943365285,0.7633234264070627,0.5352851501263406
HD 187923,54,2,934.2685400000773,0.32,0.3719282293252922,0.3613554037866537,0.3316756775339012
HD 190360,77,3,1074.0813600001857,0.31,0.31468793225662756,0.34156089376192905,0.3545636459681294
HD 19373,169,2,903.6195499999449,0.31,0.13993229678068705,0.132827582670633,0.11946455065687225
HD 201091,184,3,1107.0699200001545,0.34,0.1489191339699764,0.12261343270014588,0.13426689545458445
HD 217107,55,2,1032.1652000001632,0.27,0.3777641679839877,0.3391778970192143,0.3964183454234308
HD 221354,204,3,1098.9195900000632,0.35,0.15822151261924292,0.16319302557309648,0.1940873376212775
HD 24496 A,82,2,901.7791100000031,0.38,0.2954119381539641,0.45897311788395895,0.48473179223145024
HD 26965,157,2,860.60951999994,0.22,0.13966765895036803,0.14158176525904884,0.1338423083508693
HD 34411,87,2,916.6942199999467,0.24000000000000002,0.29664934152689837,0.2542737265919229,0.2388871169386997
HD 38858,79,2,907.6525900000706,0.41,0.2611897796380264,0.3135881019890754,0.3015167382245153
HD 4614 A,511,3,1069.8982799998485,0.33,0.04557578406152572,0.05662021550181352,0.05740405322728913
HD 4628,187,2,1021.0322900000028,0.33,0.11332772463971932,0.13500192059892052,0.12860359112757694
HD 50692,88,2,951.6539400001056,0.41,0.27705425251513566,0.26599204036551455,0.24917673896641868
HD 51419,87,2,949.6691999998875,0.45,0.24903323326378432,0.2539681334166106,0.2657571813027819
HD 52711,83,2,946.6560499998741,0.42000000000000004,0.31678449316485513,0.2833680847980406,0.2635277419403476
HD 55575,92,2,920.6083100000396,0.34,0.21566650777628216,0.2607711707813229,0.22920092006605247
HD 68017,113,2,973.6636900003068,0.42000000000000004,0.270492481775799,0.2504854521796154,0.2511241068780981
HD 86728,150,3,1202.7668700003996,0.32,0.1613543721486842,0.15528310812486623,0.20312899929960218
HD 9407,190,3,1247.3253000001423,0.36000000000000004,0.10630394818228472,0.34148019320912987,0.19385472521679745
